#rank	DiaBLE_node	p_hyper
437	27316	2.3920185158853954e-68
438	51121	5.168617601832486e-68
439	3008	2.440414630992707e-68
440	55661	5.541523896993112e-68
441	3006	1.125479297104782e-68
442	84365	1.6601735101110734e-68
443	11103	1.3350173424653766e-68
444	54606	1.379134942006515e-68
445	6235	5.959434258892482e-69
446	6428	8.52211376038836e-68
447	10992	1.2499193699730406e-68
448	1540	1.4222653618277113e-68
449	8971	1.234174382979147e-68
450	3068	2.5485677122268025e-69
451	23076	9.818989414622621e-69
452	9325	9.079456921493454e-69
453	8575	1.1351146359962482e-68
454	79009	5.382857066351681e-69
455	4288	1.3985652816546922e-68
456	23481	2.2933139684126167e-68
457	5094	3.72101572203609e-68
458	55720	5.142474662873528e-68
459	23223	1.081795569494883e-67
460	10250	1.286726458495399e-67
461	9978	2.3614229072682888e-67
462	10189	3.152858087951319e-68
463	134492	3.815609199679496e-68
464	3185	5.2831517957320034e-68
465	8065	1.946014761784829e-68
466	9987	9.524457538529212e-68
467	79084	2.86104278072647e-68
468	6633	1.2563483772248956e-66
469	6634	2.665232061087316e-67
470	129831	7.557919820809761e-68
471	8473	3.5204161956614257e-66
472	6730	5.093217298381232e-67
473	27044	6.204170985034244e-67
474	9933	6.915482191804178e-67
475	7555	1.1037928385505511e-66
476	23029	2.876357911940332e-67
477	55131	9.332646884023174e-67
478	57621	8.154051911089948e-67
479	27292	3.603252260627878e-67
480	3692	4.1724360115293186e-67
481	54865	1.0649367300794994e-67
482	84656	4.2607431505097576e-68
483	10153	5.90660706346334e-68
484	22803	1.888019251327423e-67
485	155061	3.9023690809216697e-67
486	3024	2.922424303405971e-67
487	285855	1.1142419904277628e-67
488	64318	8.318798390361252e-68
489	4113	1.0506787715468676e-68
490	57109	8.929604483551776e-70
491	26155	1.0251413301587307e-69
492	10940	8.184596761905161e-69
493	26471	1.958025551702125e-67
494	9790	2.150148367987711e-67
495	11100	5.7687823910004224e-67
496	8531	8.812968644867158e-67
497	6432	2.010901530180635e-67
498	9092	8.66193214796283e-68
499	22913	2.3402745553014564e-67
500	7706	7.72946309163611e-67
501	10146	1.3975781556586004e-67
502	83987	3.504648519302016e-67
503	70	8.686672464495299e-67
504	84154	1.970416335782641e-66
505	339230	2.0628169608504533e-67
506	10360	8.626012526537777e-67
507	10412	7.732948808650493e-68
508	6838	9.514762441405406e-68
509	6731	1.2778602134701364e-68
510	6727	6.339338098572353e-69
511	29889	1.061992496827582e-68
512	29997	2.148186769454756e-68
513	23234	1.6865742785856313e-67
514	1662	2.093621595044737e-68
515	26135	6.712490935399782e-69
516	79759	6.965226940198524e-68
517	10849	1.6508625526141875e-67
518	79753	1.9184346658923212e-67
519	51388	1.3288266035840627e-68
520	84450	5.654781158356975e-67
521	23378	2.3135984600849363e-67
522	23567	6.372386059667635e-67
523	51018	3.885725799757903e-68
524	10199	7.887726174062164e-68
525	9416	5.514491730139111e-68
526	84310	4.55282021569949e-67
527	9221	5.0696397008153556e-67
528	79039	6.345488838241574e-67
529	9904	3.236793394936022e-67
530	692312	2.9216058909977846e-68
531	104	2.952616902797255e-69
532	2197	5.069489332873542e-69
533	64794	4.0571188158526646e-68
534	27309	9.260804406821617e-69
535	22984	2.73694545794523e-69
536	400506	3.8967333696673694e-69
537	84549	2.784545905466237e-70
538	26574	2.923643838653122e-68
539	65095	2.763597213540919e-69
540	3007	2.1613790064440396e-70
541	6166	2.371721994752551e-71
542	54487	2.549137003445005e-67
543	317772	8.407270368999187e-68
544	9982	4.996829226572208e-68
545	197407	1.7099947251865575e-68
546	6741	7.198450222581597e-67
547	134430	1.0774577337853023e-66
548	84295	1.2336671264687495e-66
549	79727	1.902537335340812e-66
550	64848	3.55985321850258e-67
551	79954	3.8148359750649424e-67
552	29777	7.548396879664824e-68
553	23246	1.1302939790632178e-67
554	4931	2.810820269258348e-67
555	5976	8.986120100619945e-67
556	80135	1.1642826738331197e-67
557	79661	1.7544157381107482e-68
558	27067	2.60731108562419e-68
559	55003	2.3776530047443192e-67
560	10450	8.196978066663426e-66
561	51154	1.7546874471238816e-65
562	5936	2.0488263784222023e-65
563	83759	3.039989694484915e-66
564	8899	2.0143263656510704e-65
565	9733	3.2690853201082723e-65
566	8161	7.29420175783014e-66
567	55153	1.5142566214958953e-66
568	6733	2.7592366425669867e-65
569	84294	1.4011606914637486e-65
570	3009	2.280085624878107e-65
571	4204	8.647732911197663e-65
572	5885	1.039405353615013e-64
573	84872	1.4784571457104927e-64
574	7270	3.2870589430361934e-64
575	51491	6.720716898680277e-64
576	79159	7.191973721129546e-64
577	57050	1.229809016350401e-63
578	8336	1.3625653593524054e-63
579	8638	1.3016092057805195e-64
